steps,times
1.00000000000000e+01,6.30000000000000e-06
1.00000000000000e+02,1.40000000000000e-05
1.00000000000000e+03,1.53900000000000e-04
1.00000000000000e+04,1.01260000000000e-03
1.00000000000000e+05,1.04145000000000e-02
1.00000000000000e+06,6.01797000000000e-02
1.00000000000000e+01,3.00000000000000e-06
1.00000000000000e+02,4.90000000000000e-06
1.00000000000000e+03,2.35000000000000e-05
1.00000000000000e+04,5.34300000000000e-04
1.00000000000000e+05,6.62750000000000e-03
1.00000000000000e+06,6.26483000000000e-02
1.00000000000000e+01,4.40000000000000e-06
1.00000000000000e+02,8.30000000000000e-06
1.00000000000000e+03,2.34000000000000e-05
1.00000000000000e+04,2.18800000000000e-04
1.00000000000000e+05,3.07610000000000e-03
1.00000000000000e+06,2.33376000000000e-02
1.00000000000000e+01,9.60000000000000e-06
1.00000000000000e+02,4.90000000000000e-06
1.00000000000000e+03,2.54000000000000e-05
1.00000000000000e+04,2.06200000000000e-04
1.00000000000000e+05,3.88910000000000e-03
1.00000000000000e+06,2.94784000000000e-02
1.00000000000000e+01,3.40000000000000e-06
1.00000000000000e+02,5.00000000000000e-06
1.00000000000000e+03,2.36000000000000e-05
1.00000000000000e+04,2.25100000000000e-04
1.00000000000000e+05,2.84340000000000e-03
1.00000000000000e+06,3.41758000000000e-02
1.00000000000000e+01,2.80000000000000e-06
1.00000000000000e+02,6.30000000000000e-06
1.00000000000000e+03,3.81000000000000e-05
1.00000000000000e+04,2.07200000000000e-04
1.00000000000000e+05,4.80450000000000e-03
1.00000000000000e+06,3.48035000000000e-02
1.00000000000000e+01,4.60000000000000e-06
1.00000000000000e+02,5.50000000000000e-06
1.00000000000000e+03,5.39000000000000e-05
1.00000000000000e+04,2.71900000000000e-04
1.00000000000000e+05,3.56630000000000e-03
1.00000000000000e+06,2.86623000000000e-02
1.00000000000000e+01,3.80000000000000e-06
1.00000000000000e+02,4.80000000000000e-06
1.00000000000000e+03,2.31000000000000e-05
1.00000000000000e+04,3.15100000000000e-04
1.00000000000000e+05,3.01080000000000e-03
1.00000000000000e+06,2.95092000000000e-02
1.00000000000000e+01,3.60000000000000e-06
1.00000000000000e+02,7.90000000000000e-06
1.00000000000000e+03,3.32000000000000e-05
1.00000000000000e+04,2.08600000000000e-04
1.00000000000000e+05,2.44330000000000e-03
1.00000000000000e+06,2.50613000000000e-02
1.00000000000000e+01,4.50000000000000e-06
1.00000000000000e+02,7.60000000000000e-06
1.00000000000000e+03,2.42000000000000e-05
1.00000000000000e+04,2.49100000000000e-04
1.00000000000000e+05,3.90310000000000e-03
1.00000000000000e+06,2.97044000000000e-02
