x,v(x)
0.00000000000000e+00,9.33583086434032e-02
1.01010101010101e-02,1.76716617286806e-01
2.02020202020202e-02,2.51035686907257e-01
3.03030303030303e-02,3.17183972316300e-01
4.04040404040404e-02,3.75946490576155e-01
5.05050505050505e-02,4.28032837373071e-01
6.06060606060606e-02,4.74084433208817e-01
7.07070707070707e-02,5.14681073406359e-01
8.08080808080808e-02,5.50346848816570e-01
9.09090909090909e-02,5.81555497686526e-01
1.01010101010101e-01,6.08735243341191e-01
1.11111111111111e-01,6.32273167079519e-01
1.21212121212121e-01,6.52519160939769e-01
1.31313131313131e-01,6.69789500698542e-01
1.41414141414141e-01,6.84370075590029e-01
1.51515151515152e-01,6.96519307726422e-01
1.61616161616162e-01,7.06470791031811e-01
1.71717171717172e-01,7.14435676637616e-01
1.81818181818182e-01,7.20604829098522e-01
1.91919191919192e-01,7.25150775447609e-01
2.02020202020202e-01,7.28229466993872e-01
2.12121212121212e-01,7.29981871853104e-01
2.22222222222222e-01,7.30535414474633e-01
2.32323232323232e-01,7.30005276863943e-01
2.42424242424242e-01,7.28495574788906e-01
2.52525252525253e-01,7.26100420980706e-01
2.62626262626263e-01,7.22904886186571e-01
2.72727272727273e-01,7.18985867888307e-01
2.82828282828283e-01,7.14412875557744e-01
2.92929292929293e-01,7.09248740467907e-01
3.03030303030303e-01,7.03550257308291e-01
3.13131313131313e-01,6.97368764156259e-01
3.23232323232323e-01,6.90750666727033e-01
3.33333333333333e-01,6.83737912255808e-01
3.43434343434343e-01,6.76368417851110e-01
3.53535353535354e-01,6.68676457693643e-01
3.63636363636364e-01,6.60693013034576e-01
3.73737373737374e-01,6.52446088567365e-01
3.83838383838384e-01,6.43960998403800e-01
3.93939393939394e-01,6.35260624574594e-01
4.04040404040404e-01,6.26365650694241e-01
4.14141414141414e-01,6.17294773176269e-01
4.24242424242424e-01,6.08064892155752e-01
4.34343434343434e-01,5.98691284068736e-01
4.44444444444444e-01,5.89187757650904e-01
4.54545454545455e-01,5.79566794948502e-01
4.64646464646465e-01,5.69839678781481e-01
4.74747474747475e-01,5.60016607960478e-01
4.84848484848485e-01,5.50106801434205e-01
4.94949494949495e-01,5.40118592430756e-01
5.05050505050505e-01,5.30059513554188e-01
5.15151515151515e-01,5.19936373705356e-01
5.25252525252525e-01,5.09755327612489e-01
5.35353535353535e-01,4.99521938681548e-01
5.45454545454546e-01,4.89241235808157e-01
5.55555555555556e-01,4.78917764731274e-01
5.65656565656566e-01,4.68555634452996e-01
5.75757575757576e-01,4.58158559198534e-01
5.85858585858586e-01,4.47729896344834e-01
5.95959595959596e-01,4.37272680705166e-01
6.06060606060606e-01,4.26789655519785e-01
6.16161616161616e-01,4.16283300469126e-01
6.26262626262626e-01,4.05755856995606e-01
6.36363636363636e-01,3.95209351192599e-01
6.46464646464647e-01,3.84645614494337e-01
6.56565656565657e-01,3.74066302377994e-01
6.66666666666667e-01,3.63472911268961e-01
6.76767676767677e-01,3.52866793821914e-01
6.86868686868687e-01,3.42249172733748e-01
6.96969696969697e-01,3.31621153229411e-01
7.07070707070707e-01,3.20983734348152e-01
7.17171717171717e-01,3.10337819145425e-01
7.27272727272727e-01,2.99684223914642e-01
7.37373737373737e-01,2.89023686522930e-01
7.47474747474748e-01,2.78356873946019e-01
7.57575757575758e-01,2.67684389079216e-01
7.67676767676768e-01,2.57006776893999e-01
7.77777777777778e-01,2.46324530003113e-01
7.87878787878788e-01,2.35638093690992e-01
7.97979797979798e-01,2.24947870460881e-01
8.08080808080808e-01,2.14254224145082e-01
8.18181818181818e-01,2.03557483620310e-01
8.28282828282828e-01,1.92857946166089e-01
8.38383838383838e-01,1.82155880500486e-01
8.48484848484849e-01,1.71451529524185e-01
8.58585858585859e-01,1.60745112800919e-01
8.68686868686869e-01,1.50036828799596e-01
8.78787878787879e-01,1.39326856921004e-01
8.88888888888889e-01,1.28615359329806e-01
8.98989898989899e-01,1.17902482610515e-01
9.09090909090909e-01,1.07188359264375e-01
9.19191919191919e-01,9.64731090624305e-02
9.29292929292929e-01,8.57568402685893e-02
9.39393939393939e-01,7.50396507451860e-02
9.49494949494950e-01,6.43216289523241e-02
9.59595959595960e-01,5.36028548512052e-02
9.69696969696970e-01,4.28834007206711e-02
9.79797979797980e-01,3.21633318952943e-02
9.89898989898990e-01,2.14427074325564e-02
1.00000000000000e+00,1.07215807159270e-02
