x,u(x)
0.00000000000000e+00,0.00000000000000e+00
1.00100100100100e-03,8.95912105435082e-03
2.00200200200200e-03,1.78190389826252e-02
3.00300300300300e-03,2.65807418555585e-02
4.00400400400400e-03,3.52452079026262e-02
5.00500500500500e-03,4.38134056100634e-02
6.00600600600601e-03,5.22862938179079e-02
7.00700700700701e-03,6.06648218160775e-02
8.00800800800801e-03,6.89499294394891e-02
9.00900900900901e-03,7.71425471622323e-02
1.00100100100100e-02,8.52435961908037e-02
1.10110110110110e-02,9.32539885564121e-02
1.20120120120120e-02,1.01174627206366e-01
1.30130130130130e-02,1.09006406094549e-01
1.40140140140140e-02,1.16750210270996e-01
1.50150150150150e-02,1.24406915970576e-01
1.60160160160160e-02,1.31977390700791e-01
1.70170170170170e-02,1.39462493328701e-01
1.80180180180180e-02,1.46863074166987e-01
1.90190190190190e-02,1.54179975059148e-01
2.00200200200200e-02,1.61414029463859e-01
2.10210210210210e-02,1.68566062538480e-01
2.20220220220220e-02,1.75636891221744e-01
2.30230230230230e-02,1.82627324315609e-01
2.40240240240240e-02,1.89538162566306e-01
2.50250250250250e-02,1.96370198744569e-01
2.60260260260260e-02,2.03124217725077e-01
2.70270270270270e-02,2.09800996565097e-01
2.80280280280280e-02,2.16401304582345e-01
2.90290290290290e-02,2.22925903432075e-01
3.00300300300300e-02,2.29375547183395e-01
3.10310310310310e-02,2.35750982394827e-01
3.20320320320320e-02,2.42052948189114e-01
3.30330330330330e-02,2.48282176327280e-01
3.40340340340340e-02,2.54439391281951e-01
3.50350350350350e-02,2.60525310309953e-01
3.60360360360360e-02,2.66540643524176e-01
3.70370370370370e-02,2.72486093964734e-01
3.80380380380380e-02,2.78362357669406e-01
3.90390390390390e-02,2.84170123743381e-01
4.00400400400400e-02,2.89910074428310e-01
4.10410410410410e-02,2.95582885170662e-01
4.20420420420420e-02,3.01189224689410e-01
4.30430430430430e-02,3.06729755043031e-01
4.40440440440440e-02,3.12205131695854e-01
4.50450450450450e-02,3.17616003583729e-01
4.60460460460460e-02,3.22963013179056e-01
4.70470470470470e-02,3.28246796555163e-01
4.80480480480480e-02,3.33467983450036e-01
4.90490490490490e-02,3.38627197329424e-01
5.00500500500500e-02,3.43725055449308e-01
5.10510510510511e-02,3.48762168917754e-01
5.20520520520521e-02,3.53739142756145e-01
5.30530530530531e-02,3.58656575959802e-01
5.40540540540541e-02,3.63515061558009e-01
5.50550550550551e-02,3.68315186673432e-01
5.60560560560561e-02,3.73057532580951e-01
5.70570570570571e-02,3.77742674765902e-01
5.80580580580581e-02,3.82371182981746e-01
5.90590590590591e-02,3.86943621307153e-01
6.00600600600601e-02,3.91460548202527e-01
6.10610610610611e-02,3.95922516565964e-01
6.20620620620621e-02,4.00330073788653e-01
6.30630630630631e-02,4.04683761809724e-01
6.40640640640641e-02,4.08984117170552e-01
6.50650650650651e-02,4.13231671068518e-01
6.60660660660661e-02,4.17426949410239e-01
6.70670670670671e-02,4.21570472864259e-01
6.80680680680681e-02,4.25662756913224e-01
6.90690690690691e-02,4.29704311905535e-01
7.00700700700701e-02,4.33695643106481e-01
7.10710710710711e-02,4.37637250748873e-01
7.20720720720721e-02,4.41529630083163e-01
7.30730730730731e-02,4.45373271427072e-01
7.40740740740741e-02,4.49168660214716e-01
7.50750750750751e-02,4.52916277045254e-01
7.60760760760761e-02,4.56616597731038e-01
7.70770770770771e-02,4.60270093345292e-01
7.80780780780781e-02,4.63877230269317e-01
7.90790790790791e-02,4.67438470239219e-01
