steps,times
1.00000000000000e+01,2.40000000000000e-06
1.00000000000000e+02,5.40000000000000e-06
1.00000000000000e+03,4.04000000000000e-05
1.00000000000000e+04,3.63000000000000e-04
1.00000000000000e+05,4.41370000000000e-03
1.00000000000000e+06,2.83149000000000e-02
1.00000000000000e+01,3.00000000000000e-06
1.00000000000000e+02,4.70000000000000e-06
1.00000000000000e+03,1.96000000000000e-05
1.00000000000000e+04,2.15700000000000e-04
1.00000000000000e+05,3.03810000000000e-03
1.00000000000000e+06,2.22661000000000e-02
1.00000000000000e+01,3.10000000000000e-06
1.00000000000000e+02,1.04000000000000e-05
1.00000000000000e+03,1.91000000000000e-05
1.00000000000000e+04,2.69500000000000e-04
1.00000000000000e+05,3.21210000000000e-03
1.00000000000000e+06,1.88827000000000e-02
1.00000000000000e+01,2.90000000000000e-06
1.00000000000000e+02,4.40000000000000e-06
1.00000000000000e+03,1.90000000000000e-05
1.00000000000000e+04,2.45000000000000e-04
1.00000000000000e+05,3.10270000000000e-03
1.00000000000000e+06,2.02359000000000e-02
1.00000000000000e+01,9.20000000000000e-06
1.00000000000000e+02,4.40000000000000e-06
1.00000000000000e+03,1.93000000000000e-05
1.00000000000000e+04,3.39600000000000e-04
1.00000000000000e+05,3.71790000000000e-03
1.00000000000000e+06,1.96532000000000e-02
1.00000000000000e+01,3.90000000000000e-06
1.00000000000000e+02,6.30000000000000e-06
1.00000000000000e+03,2.49000000000000e-05
1.00000000000000e+04,3.28000000000000e-04
1.00000000000000e+05,2.85350000000000e-03
1.00000000000000e+06,2.60290000000000e-02
1.00000000000000e+01,4.10000000000000e-06
1.00000000000000e+02,6.70000000000000e-06
1.00000000000000e+03,2.93000000000000e-05
1.00000000000000e+04,4.92300000000000e-04
1.00000000000000e+05,3.57460000000000e-03
1.00000000000000e+06,2.64543000000000e-02
1.00000000000000e+01,5.00000000000000e-06
1.00000000000000e+02,5.40000000000000e-06
1.00000000000000e+03,1.94000000000000e-05
1.00000000000000e+04,2.17300000000000e-04
1.00000000000000e+05,3.42080000000000e-03
1.00000000000000e+06,2.26477000000000e-02
1.00000000000000e+01,2.90000000000000e-06
1.00000000000000e+02,6.30000000000000e-06
1.00000000000000e+03,2.79000000000000e-05
1.00000000000000e+04,2.87900000000000e-04
1.00000000000000e+05,3.35190000000000e-03
1.00000000000000e+06,2.07072000000000e-02
1.00000000000000e+01,3.00000000000000e-06
1.00000000000000e+02,4.60000000000000e-06
1.00000000000000e+03,3.13000000000000e-05
1.00000000000000e+04,2.68700000000000e-04
1.00000000000000e+05,3.43830000000000e-03
1.00000000000000e+06,1.92612000000000e-02
