Particle,x,y,z
0,614.943,-437.998,1.57007e+32
1,-554.111,-720.127,-1.84262e+31
0,572.584,-406.228,1.57764e+32
1,-519.015,-670.137,-1.8515e+31
0,531.1,-373.526,1.58524e+32
1,-482.813,-621.123,-1.86043e+31
0,490.512,-339.918,1.59289e+32
1,-445.534,-573.109,-1.8694e+31
0,450.84,-305.427,1.60057e+32
1,-407.203,-526.119,-1.87841e+31
0,412.101,-270.076,1.60828e+32
1,-367.848,-480.175,-1.88746e+31
0,374.315,-233.892,1.61604e+32
1,-327.496,-435.299,-1.89656e+31
0,337.499,-196.899,1.62383e+32
1,-286.177,-391.511,-1.90571e+31
0,301.669,-159.121,1.63165e+32
1,-243.919,-348.832,-1.91489e+31
0,266.841,-120.587,1.63952e+32
1,-200.75,-307.281,-1.92413e+31
0,233.032,-81.32,1.64743e+32
1,-156.701,-266.878,-1.9334e+31
0,200.255,-41.348,1.65537e+32
1,-111.802,-227.64,-1.94272e+31
0,168.525,-0.697323,1.66335e+32
1,-66.0815,-189.585,-1.95209e+31
0,137.856,40.6051,1.67137e+32
1,-19.5716,-152.729,-1.9615e+31
0,108.26,82.532,1.67942e+32
1,27.6973,-117.087,-1.97096e+31
0,79.7493,125.056,1.68752e+32
1,75.6939,-82.6754,-1.98046e+31
0,52.3354,168.15,1.69566e+32
1,124.387,-49.5075,-1.99001e+31
0,26.0289,211.785,1.70383e+32
1,173.744,-17.5969,-1.9996e+31
0,0.839856,255.934,1.71205e+32
1,223.735,13.044,-2.00924e+31
0,-23.2224,300.568,1.7203e+32
1,274.325,42.4032,-2.01893e+31
0,-46.1493,345.659,1.72859e+32
1,325.484,70.47,-2.02866e+31
0,-67.9329,391.18,1.73693e+32
1,377.179,97.2341,-2.03844e+31
0,-88.5659,437.1,1.7453e+32
1,429.376,122.686,-2.04827e+31
0,-108.042,483.391,1.75372e+32
1,482.044,146.818,-2.05814e+31
0,-126.355,530.025,1.76217e+32
1,535.148,169.621,-2.06807e+31
0,-143.501,576.973,1.77067e+32
1,588.657,191.089,-2.07804e+31
0,-159.474,624.206,1.7792e+32
1,642.537,211.216,-2.08805e+31
0,-174.271,671.695,1.78778e+32
1,696.754,229.996,-2.09812e+31
0,-187.889,719.411,1.7964e+32
1,751.277,247.426,-2.10824e+31
0,-200.326,767.326,1.80506e+32
1,806.07,263.5,-2.1184e+31
0,-211.58,815.41,1.81376e+32
1,861.102,278.217,-2.12861e+31
0,-221.651,863.634,1.82251e+32
1,916.339,291.574,-2.13887e+31
0,-230.538,911.971,1.83129e+32
1,971.748,303.571,-2.14919e+31
0,-238.241,960.39,1.84012e+32
1,1027.29,314.206,-2.15955e+31
0,-244.762,1008.86,1.84899e+32
1,1082.95,323.479,-2.16996e+31
0,-250.103,1057.36,1.85791e+32
1,1138.67,331.394,-2.18042e+31
0,-254.266,1105.86,1.86686e+32
1,1194.44,337.95,-2.19093e+31
0,-257.255,1154.33,1.87586e+32
1,1250.21,343.15,-2.20149e+31
0,-259.073,1202.74,1.88491e+32
1,1305.96,346.999,-2.21211e+31
