Particle,x,y,z
0,25.0587,-132.018,55.824
1,-81.7189,-51.9764,-49.5814
0,24.0502,-131.552,57.0965
1,-81.2013,-50.73,-49.4333
0,23.0524,-131.059,58.3718
1,-80.6517,-49.4947,-49.2877
0,22.0658,-130.539,59.6498
1,-80.0706,-48.2715,-49.1444
0,21.0912,-129.992,60.9307
1,-79.4581,-47.061,-49.0034
0,20.1293,-129.419,62.2146
1,-78.8145,-45.8642,-48.8649
0,19.1807,-128.819,63.5014
1,-78.1403,-44.6818,-48.7286
0,18.246,-128.193,64.7913
1,-77.4358,-43.5144,-48.5948
0,17.326,-127.542,66.0844
1,-76.7013,-42.363,-48.4632
0,16.4212,-126.865,67.3806
1,-75.9373,-41.2282,-48.334
0,15.5322,-126.164,68.68
1,-75.1442,-40.1109,-48.2071
0,14.6598,-125.439,69.9827
1,-74.3224,-39.0116,-48.0826
0,13.8044,-124.689,71.2889
1,-73.4724,-37.9311,-47.9603
0,12.9667,-123.916,72.5984
1,-72.5947,-36.8702,-47.8404
0,12.1474,-123.119,73.9114
1,-71.6897,-35.8294,-47.7227
0,11.3468,-122.301,75.228
1,-70.7579,-34.8096,-47.6074
0,10.5657,-121.459,76.5482
1,-69.7999,-33.8114,-47.4943
0,9.8046,-120.596,77.8721
1,-68.8163,-32.8354,-47.3835
0,9.06398,-119.712,79.1997
1,-67.8075,-31.8822,-47.275
0,8.34441,-118.808,80.5311
1,-66.7741,-30.9525,-47.1688
0,7.64639,-117.883,81.8665
1,-65.7168,-30.047,-47.0648
0,6.97043,-116.938,83.2057
1,-64.6361,-29.1661,-46.9631
0,6.31702,-115.975,84.549
1,-63.5327,-28.3106,-46.8637
0,5.68663,-114.992,85.8963
1,-62.4072,-27.4808,-46.7665
0,5.07972,-113.992,87.2477
1,-61.2603,-26.6775,-46.6716
0,4.49673,-112.975,88.6034
1,-60.0925,-25.9012,-46.5789
0,3.9381,-111.941,89.9633
1,-58.9047,-25.1522,-46.4885
0,3.40425,-110.891,91.3275
1,-57.6974,-24.4313,-46.4003
0,2.89557,-109.825,92.6961
1,-56.4714,-23.7388,-46.3143
0,2.41244,-108.744,94.0692
1,-55.2273,-23.0752,-46.2305
0,1.95525,-107.649,95.4468
1,-53.966,-22.4409,-46.149
0,1.52433,-106.541,96.829
1,-52.6882,-21.8365,-46.0697
0,1.12004,-105.42,98.2158
1,-51.3945,-21.2622,-45.9926
0,0.74268,-104.286,99.6074
1,-50.0858,-20.7186,-45.9177
0,0.392565,-103.141,101.004
1,-48.7628,-20.2059,-45.845
0,0.06998,-101.985,102.405
1,-47.4263,-19.7246,-45.7746
