Particle,x,y,z
0,250.587,-1320.18,558.24
1,-817.189,-519.764,-495.814
0,240.502,-1315.52,570.965
1,-812.013,-507.3,-494.333
0,230.524,-1310.59,583.718
1,-806.517,-494.947,-492.877
0,220.658,-1305.39,596.498
1,-800.706,-482.715,-491.444
0,210.912,-1299.92,609.307
1,-794.581,-470.61,-490.034
0,201.293,-1294.19,622.146
1,-788.145,-458.642,-488.649
0,191.807,-1288.19,635.014
1,-781.403,-446.818,-487.286
0,182.46,-1281.93,647.913
1,-774.358,-435.144,-485.948
0,173.26,-1275.42,660.844
1,-767.013,-423.63,-484.632
0,164.212,-1268.65,673.806
1,-759.373,-412.282,-483.34
0,155.322,-1261.64,686.8
1,-751.442,-401.109,-482.071
0,146.598,-1254.39,699.827
1,-743.224,-390.116,-480.826
0,138.044,-1246.89,712.889
1,-734.724,-379.311,-479.603
0,129.667,-1239.16,725.984
1,-725.947,-368.702,-478.404
0,121.474,-1231.19,739.114
1,-716.897,-358.294,-477.227
0,113.468,-1223.01,752.28
1,-707.579,-348.096,-476.074
0,105.657,-1214.59,765.482
1,-697.999,-338.114,-474.943
0,98.046,-1205.96,778.721
1,-688.163,-328.354,-473.835
0,90.6398,-1197.12,791.997
1,-678.075,-318.822,-472.75
0,83.4441,-1188.08,805.311
1,-667.741,-309.525,-471.688
0,76.4639,-1178.83,818.665
1,-657.168,-300.47,-470.648
0,69.7043,-1169.38,832.057
1,-646.361,-291.661,-469.631
0,63.1702,-1159.75,845.49
1,-635.327,-283.106,-468.637
0,56.8663,-1149.92,858.963
1,-624.072,-274.808,-467.665
0,50.7972,-1139.92,872.477
1,-612.603,-266.775,-466.716
0,44.9673,-1129.75,886.034
1,-600.925,-259.012,-465.789
0,39.381,-1119.41,899.633
1,-589.047,-251.522,-464.885
0,34.0425,-1108.91,913.275
1,-576.974,-244.313,-464.003
0,28.9557,-1098.25,926.961
1,-564.714,-237.388,-463.143
0,24.1244,-1087.44,940.692
1,-552.273,-230.752,-462.305
0,19.5525,-1076.49,954.468
1,-539.66,-224.409,-461.49
0,15.2433,-1065.41,968.29
1,-526.882,-218.365,-460.697
0,11.2004,-1054.2,982.158
1,-513.945,-212.622,-459.926
0,7.4268,-1042.86,996.074
1,-500.858,-207.186,-459.177
0,3.92565,-1031.41,1010.04
1,-487.628,-202.059,-458.45
0,0.6998,-1019.85,1024.05
1,-474.263,-197.246,-457.746
0,-2.24806,-1008.18,1038.11
1,-460.771,-192.749,-457.063
0,-4.9154,-996.425,1052.22
1,-447.16,-188.572,-456.402
0,-7.29988,-984.579,1066.39
1,-433.438,-184.718,-455.764
