Particle,vx,vy,vz
0,-1257.7,-1717.96,1.08508e+32
1,-2026.78,1380.75,-1.27343e+31
0,-1300.06,-1686.19,1.09265e+32
1,-1991.68,1430.74,-1.28232e+31
0,-1341.55,-1653.49,1.10025e+32
1,-1955.48,1479.75,-1.29124e+31
0,-1382.13,-1619.88,1.10789e+32
1,-1918.2,1527.76,-1.30021e+31
0,-1421.81,-1585.39,1.11557e+32
1,-1879.87,1574.75,-1.30923e+31
0,-1460.54,-1550.04,1.12329e+32
1,-1840.51,1620.7,-1.31828e+31
0,-1498.33,-1513.86,1.13104e+32
1,-1800.16,1665.58,-1.32738e+31
0,-1535.15,-1476.86,1.13883e+32
1,-1758.84,1709.36,-1.33652e+31
0,-1570.98,-1439.09,1.14666e+32
1,-1716.58,1752.04,-1.34571e+31
0,-1605.8,-1400.55,1.15453e+32
1,-1673.42,1793.59,-1.35494e+31
0,-1639.61,-1361.29,1.16243e+32
1,-1629.37,1834,-1.36422e+31
0,-1672.39,-1321.31,1.17038e+32
1,-1584.47,1873.23,-1.37354e+31
0,-1704.12,-1280.66,1.17836e+32
1,-1538.75,1911.29,-1.38291e+31
0,-1734.79,-1239.36,1.18637e+32
1,-1492.24,1948.15,-1.39232e+31
0,-1764.39,-1197.43,1.19443e+32
1,-1444.97,1983.79,-1.40177e+31
0,-1792.9,-1154.91,1.20253e+32
1,-1396.97,2018.2,-1.41128e+31
0,-1820.31,-1111.82,1.21066e+32
1,-1348.28,2051.37,-1.42082e+31
0,-1846.62,-1068.18,1.21884e+32
1,-1298.92,2083.28,-1.43042e+31
0,-1871.81,-1024.03,1.22705e+32
1,-1248.93,2113.92,-1.44006e+31
0,-1895.87,-979.397,1.23531e+32
1,-1198.34,2143.28,-1.44975e+31
0,-1918.79,-934.306,1.2436e+32
1,-1147.18,2171.34,-1.45948e+31
0,-1940.58,-888.786,1.25193e+32
1,-1095.49,2198.11,-1.46926e+31
0,-1961.21,-842.866,1.26031e+32
1,-1043.29,2223.56,-1.47909e+31
0,-1980.69,-796.574,1.26872e+32
1,-990.622,2247.69,-1.48896e+31
0,-1999,-749.94,1.27718e+32
1,-937.517,2270.5,-1.49888e+31
0,-2016.15,-702.992,1.28567e+32
1,-884.008,2291.96,-1.50885e+31
0,-2032.12,-655.759,1.29421e+32
1,-830.128,2312.09,-1.51887e+31
0,-2046.92,-608.27,1.30279e+32
1,-775.911,2330.87,-1.52894e+31
0,-2060.53,-560.554,1.31141e+32
1,-721.388,2348.3,-1.53905e+31
0,-2072.97,-512.639,1.32007e+32
1,-666.595,2364.37,-1.54922e+31
0,-2084.23,-464.555,1.32877e+32
1,-611.563,2379.09,-1.55943e+31
0,-2094.3,-416.331,1.33751e+32
1,-556.326,2392.45,-1.56969e+31
0,-2103.18,-367.995,1.3463e+32
1,-500.918,2404.44,-1.58e+31
0,-2110.89,-319.575,1.35513e+32
1,-445.37,2415.08,-1.59037e+31
0,-2117.41,-271.101,1.364e+32
1,-389.717,2424.35,-1.60078e+31
0,-2122.75,-222.601,1.37291e+32
1,-333.992,2432.27,-1.61124e+31
0,-2126.91,-174.103,1.38187e+32
1,-278.226,2438.82,-1.62175e+31
0,-2129.9,-125.636,1.39087e+32
1,-222.453,2444.02,-1.63231e+31
0,-2131.72,-77.228,1.39991e+32
1,-166.706,2447.87,-1.64293e+31
0,-2132.37,-28.9063,1.409e+32
1,-111.016,2450.37,-1.65359e+31
0,-2131.86,19.3011,1.41813e+32
1,-55.4158,2451.53,-1.66431e+31
0,-2130.2,67.3665,1.42731e+32
1,0.06248,2451.36,-1.67507e+31
0,-2127.38,115.263,1.43653e+32
1,55.3873,2449.85,-1.68589e+31
0,-2123.43,162.963,1.44579e+32
1,110.527,2447.02,-1.69677e+31
0,-2118.34,210.439,1.4551e+32
1,165.45,2442.87,-1.70769e+31
0,-2112.13,257.666,1.46445e+32
1,220.127,2437.42,-1.71867e+31
0,-2104.8,304.617,1.47385e+32
1,274.525,2430.67,-1.7297e+31
0,-2096.37,351.266,1.48329e+32
