Particle,vx,vy,vz
0,-101.84,43.7858,126.982
1,48.5415,125.691,15.0425
0,-100.847,46.5522,127.25
1,51.7605,124.649,14.804
0,-99.7853,49.2936,127.525
1,54.9532,123.526,14.5663
0,-98.6554,52.0083,127.806
1,58.1177,122.324,14.3292
0,-97.4578,54.6946,128.093
1,61.2517,121.042,14.0929
0,-96.1933,57.3508,128.386
1,64.3536,119.683,13.8572
0,-94.8626,59.9752,128.685
1,67.4211,118.245,13.6222
0,-93.4664,62.5662,128.99
1,70.4525,116.731,13.3878
0,-92.0058,65.1221,129.302
1,73.4458,115.142,13.1541
0,-90.4814,67.6412,129.62
1,76.3991,113.478,12.921
0,-88.8943,70.1221,129.944
1,79.3105,111.74,12.6886
0,-87.2454,72.5632,130.274
1,82.1782,109.929,12.4567
0,-85.5358,74.9629,130.611
1,85.0004,108.046,12.2255
0,-83.7663,77.3196,130.954
1,87.7753,106.094,11.9948
0,-81.9382,79.6319,131.303
1,90.5012,104.072,11.7647
0,-80.0524,81.8984,131.658
1,93.1762,101.981,11.5352
0,-78.1103,84.1175,132.02
1,95.7987,99.8245,11.3062
0,-76.1129,86.2879,132.388
1,98.3671,97.6021,11.0778
0,-74.0615,88.4082,132.763
1,100.88,95.3156,10.8499
0,-71.9573,90.4771,133.144
1,103.335,92.9664,10.6226
0,-69.8017,92.4932,133.531
1,105.731,90.5559,10.3957
0,-67.5959,94.4552,133.925
1,108.067,88.0857,10.1694
0,-65.3412,96.3619,134.325
1,110.34,85.5571,9.94348
0,-63.0392,98.212,134.731
1,112.55,82.9718,9.7181
0,-60.6911,100.004,135.145
1,114.696,80.3314,9.49317
0,-58.2985,101.738,135.564
1,116.775,77.6374,9.26871
0,-55.8628,103.412,135.99
1,118.786,74.8916,9.04469
0,-53.3855,105.024,136.423
1,120.729,72.0956,8.82111
0,-50.8682,106.575,136.862
1,122.601,69.2511,8.59795
0,-48.3123,108.062,137.308
1,124.402,66.36,8.3752
0,-45.7195,109.485,137.76
1,126.131,63.424,8.15286
0,-43.0914,110.844,138.22
1,127.786,60.4448,7.93091
0,-40.4296,112.136,138.685
1,129.366,57.4244,7.70934
0,-37.7357,113.362,139.158
1,130.871,54.3647,7.48814
0,-35.0115,114.52,139.637
1,132.298,51.2674,7.2673
0,-32.2585,115.61,140.122
1,133.648,48.1346,7.04681
0,-29.4786,116.631,140.615
1,134.92,44.9682,6.82666
0,-26.6734,117.582,141.114
1,136.112,41.7701,6.60684
0,-23.8447,118.463,141.62
1,137.224,38.5423,6.38733
0,-20.9943,119.273,142.133
1,138.255,35.2868,6.16814
0,-18.1238,120.012,142.653
1,139.205,32.0058,5.94924
0,-15.2351,120.679,143.179
1,140.072,28.7011,5.73062
0,-12.3301,121.273,143.713
1,140.856,25.3748,5.51228
0,-9.41044,121.795,144.253
1,141.557,22.0291,5.29421
0,-6.47802,122.244,144.801
1,142.174,18.6661,5.07639
0,-3.53466,122.619,145.355
1,142.707,15.2877,4.85882
0,-0.582193,122.92,145.916
1,143.155,11.8961,4.64148
0,2.37754,123.148,146.484
1,143.519,8.49349,4.42436
0,5.34267,123.301,147.06
1,143.796,5.08193,4.20745
0,8.31137,123.38,147.642
1,143.989,1.66357,3.99075
0,11.2818,123.384,148.232
1,144.096,-1.75946,3.77424
0,14.252,123.315,148.828
1,144.117,-5.18502,3.55791
0,17.2202,123.171,149.432
1,144.052,-8.61095,3.34175
0,20.1846,122.952,150.043
1,143.901,-12.0351,3.12575
0,23.1432,122.659,150.661
1,143.664,-15.4554,2.90991
0,26.0942,122.293,151.287
1,143.342,-18.8696,2.6942
0,29.0357,121.852,151.919
1,142.934,-22.2756,2.47862
0,31.966,121.338,152.559
1,142.441,-25.6712,2.26316
0,34.8831,120.75,153.207
1,141.863,-29.0544,2.04781
0,37.7853,120.089,153.861
1,141.2,-32.423,1.83256
0,40.6706,119.356,154.523
1,140.453,-35.7748,1.6174
0,43.5373,118.55,155.193
1,139.621,-39.1078,1.40232
0,46.3836,117.672,155.87
1,138.707,-42.4199,1.1873
0,49.2077,116.723,156.555
1,137.709,-45.709,0.972338
0,52.0078,115.704,157.247
1,136.628,-48.9729,0.757424
0,54.7822,114.614,157.946
1,135.466,-52.2097,0.542546
0,57.529,113.455,158.653
1,134.223,-55.4174,0.327695
0,60.2465,112.227,159.368
1,132.9,-58.5938,0.11286
0,62.9331,110.931,160.091
1,131.497,-61.7369,-0.10197
0,65.587,109.568,160.821
1,130.015,-64.8448,-0.316805
0,68.2065,108.138,161.559
1,128.455,-67.9156,-0.531656
0,70.79,106.643,162.305
1,126.819,-70.9472,-0.746531
0,73.3359,105.083,163.058
1,125.106,-73.9377,-0.961443
0,75.8425,103.46,163.819
1,123.319,-76.8853,-1.1764
0,78.3082,101.773,164.589
1,121.457,-79.788,-1.39142
0,80.7315,100.025,165.366
1,119.523,-82.6441,-1.6065
0,83.1108,98.216,166.151
1,117.518,-85.4517,-1.82166
0,85.4446,96.3475,166.944
1,115.442,-88.209,-2.0369
0,87.7314,94.4206,167.745
1,113.297,-90.9142,-2.25225
0,89.9697,92.4365,168.554
1,111.084,-93.5657,-2.4677
0,92.1582,90.3963,169.372
1,108.805,-96.1617,-2.68327
0,94.2954,88.3013,170.197
1,106.46,-98.7006,-2.89897
0,96.38,86.1527,171.031
1,104.053,-101.181,-3.11481
0,98.4106,83.952,171.872
1,101.582,-103.601,-3.3308
0,100.386,81.7004,172.723
1,99.0518,-105.958,-3.54695
0,102.305,79.3994,173.581
1,96.4621,-108.253,-3.76327
0,104.166,77.0503,174.448
1,93.8148,-110.483,-3.97977
0,105.968,74.6546,175.323
1,91.1117,-112.646,-4.19646
0,107.709,72.2138,176.206
1,88.3544,-114.742,-4.41336
0,109.39,69.7293,177.099
1,85.5445,-116.768,-4.63047
0,111.008,67.2028,177.999
1,82.6839,-118.724,-4.84779
0,112.563,64.6358,178.908
1,79.7742,-120.609,-5.06536
0,114.053,62.0298,179.826
1,76.8173,-122.42,-5.28316
0,115.478,59.3864,180.752
1,73.815,-124.158,-5.50122
0,116.836,56.7074,181.688
1,70.7692,-125.82,-5.71955
0,118.128,53.9944,182.631
1,67.6816,-127.407,-5.93815
0,119.351,51.249,183.584
1,64.5543,-128.915,-6.15703
0,120.505,48.4729,184.545
1,61.3891,-130.346,-6.37622
0,121.59,45.6679,185.516
1,58.1881,-131.697,-6.5957
0,122.604,42.8358,186.495
1,54.9532,-132.968,-6.81551
0,123.547,39.9782,187.483
1,51.6863,-134.159,-7.03564
0,124.419,37.097,188.48
1,48.3897,-135.267,-7.25612
0,125.218,34.1939,189.487
1,45.0652,-136.293,-7.47694
0,125.944,31.2708,190.502
1,41.7149,-137.235,-7.69812
0,126.598,28.3295,191.527
1,38.341,-138.094,-7.91967
0,127.177,25.3718,192.56
1,34.9455,-138.868,-8.1416
0,127.682,22.3995,193.603
1,31.5305,-139.558,-8.36392
0,128.113,19.4146,194.656
1,28.0983,-140.162,-8.58665
0,128.468,16.4188,195.718
1,24.6508,-140.68,-8.80979
0,128.749,13.4141,196.789
1,21.1902,-141.111,-9.03335
0,128.954,10.4023,197.869
1,17.7188,-141.456,-9.25734
0,129.084,7.38532,198.959
1,14.2387,-141.714,-9.48179
0,129.138,4.36504,200.059
1,10.752,-141.885,-9.70668
0,129.117,1.34337,201.168
1,7.26092,-141.969,-9.93205
0,129.019,-1.67782,202.287
1,3.76767,-141.966,-10.1579
0,128.846,-4.69663,203.416
1,0.274405,-141.875,-10.3842
0,128.597,-7.71116,204.554
