Particle,vx,vy,vz
0,-1018.4,437.858,1269.82
1,485.415,1256.91,150.425
0,-1008.47,465.522,1272.5
1,517.605,1246.49,148.04
0,-997.853,492.936,1275.25
1,549.532,1235.26,145.663
0,-986.554,520.083,1278.06
1,581.177,1223.24,143.292
0,-974.578,546.946,1280.93
1,612.517,1210.42,140.929
0,-961.933,573.508,1283.86
1,643.536,1196.83,138.572
0,-948.626,599.752,1286.85
1,674.211,1182.45,136.222
0,-934.664,625.662,1289.9
1,704.525,1167.31,133.878
0,-920.058,651.221,1293.02
1,734.458,1151.42,131.541
0,-904.814,676.412,1296.2
1,763.991,1134.78,129.21
0,-888.943,701.221,1299.44
1,793.105,1117.4,126.886
0,-872.454,725.632,1302.74
1,821.782,1099.29,124.567
0,-855.358,749.629,1306.11
1,850.004,1080.46,122.255
0,-837.663,773.196,1309.54
1,877.753,1060.94,119.948
0,-819.382,796.319,1313.03
1,905.012,1040.72,117.647
0,-800.524,818.984,1316.58
1,931.762,1019.81,115.352
0,-781.103,841.175,1320.2
1,957.987,998.245,113.062
0,-761.129,862.879,1323.88
1,983.671,976.021,110.778
0,-740.615,884.082,1327.63
1,1008.8,953.156,108.499
0,-719.573,904.771,1331.44
1,1033.35,929.664,106.226
0,-698.017,924.932,1335.31
1,1057.31,905.559,103.957
0,-675.959,944.552,1339.25
1,1080.67,880.857,101.694
0,-653.412,963.619,1343.25
1,1103.4,855.571,99.4348
0,-630.392,982.12,1347.31
1,1125.5,829.718,97.181
0,-606.911,1000.04,1351.45
1,1146.96,803.314,94.9317
0,-582.985,1017.38,1355.64
1,1167.75,776.374,92.6871
0,-558.628,1034.12,1359.9
1,1187.86,748.916,90.4469
0,-533.855,1050.24,1364.23
1,1207.29,720.956,88.2111
0,-508.682,1065.75,1368.62
1,1226.01,692.511,85.9795
0,-483.123,1080.62,1373.08
1,1244.02,663.6,83.752
0,-457.195,1094.85,1377.6
1,1261.31,634.24,81.5286
0,-430.914,1108.44,1382.2
1,1277.86,604.448,79.3091
0,-404.296,1121.36,1386.85
1,1293.66,574.244,77.0934
0,-377.357,1133.62,1391.58
1,1308.71,543.647,74.8814
0,-350.115,1145.2,1396.37
1,1322.98,512.674,72.673
0,-322.585,1156.1,1401.22
1,1336.48,481.346,70.4681
0,-294.786,1166.31,1406.15
1,1349.2,449.682,68.2666
0,-266.734,1175.82,1411.14
1,1361.12,417.701,66.0684
0,-238.447,1184.63,1416.2
1,1372.24,385.423,63.8733
0,-209.943,1192.73,1421.33
1,1382.55,352.868,61.6814
0,-181.238,1200.12,1426.53
1,1392.05,320.058,59.4924
0,-152.351,1206.79,1431.79
1,1400.72,287.011,57.3062
0,-123.301,1212.73,1437.13
1,1408.56,253.748,55.1228
0,-94.1044,1217.95,1442.53
1,1415.57,220.291,52.9421
0,-64.7802,1222.44,1448.01
1,1421.74,186.66,50.7639
0,-35.3466,1226.19,1453.55
1,1427.07,152.877,48.5882
0,-5.82193,1229.2,1459.16
1,1431.55,118.961,46.4148
0,23.7754,1231.48,1464.84
1,1435.19,84.9349,44.2436
0,53.4267,1233.01,1470.6
1,1437.96,50.8193,42.0745
0,83.1137,1233.8,1476.42
1,1439.89,16.6357,39.9075
0,112.818,1233.84,1482.32
1,1440.96,-17.5946,37.7424
0,142.52,1233.15,1488.28
1,1441.17,-51.8502,35.5791
0,172.202,1231.71,1494.32
1,1440.52,-86.1095,33.4175
0,201.846,1229.52,1500.43
1,1439.01,-120.351,31.2575
0,231.432,1226.59,1506.61
1,1436.64,-154.554,29.0991
0,260.942,1222.93,1512.87
1,1433.42,-188.696,26.942
0,290.357,1218.52,1519.19
1,1429.34,-222.756,24.7862
0,319.66,1213.38,1525.59
1,1424.41,-256.712,22.6316
0,348.831,1207.5,1532.07
1,1418.63,-290.544,20.4782
0,377.853,1200.89,1538.61
1,1412,-324.23,18.3256
0,406.706,1193.56,1545.23
1,1404.53,-357.748,16.174
0,435.373,1185.5,1551.93
1,1396.21,-391.078,14.0232
0,463.836,1176.72,1558.7
1,1387.07,-424.199,11.873
0,492.077,1167.23,1565.55
1,1377.09,-457.09,9.72338
0,520.078,1157.04,1572.47
1,1366.28,-489.729,7.57424
0,547.822,1146.14,1579.46
1,1354.66,-522.097,5.42547
0,575.29,1134.55,1586.53
1,1342.23,-554.174,3.27696
0,602.465,1122.27,1593.68
1,1329,-585.938,1.1286
0,629.331,1109.31,1600.91
1,1314.97,-617.369,-1.0197
0,655.87,1095.68,1608.21
1,1300.15,-648.448,-3.16805
0,682.065,1081.38,1615.59
1,1284.55,-679.156,-5.31655
0,707.9,1066.43,1623.05
1,1268.19,-709.472,-7.46531
0,733.359,1050.83,1630.58
1,1251.06,-739.377,-9.61443
0,758.425,1034.6,1638.19
1,1233.19,-768.853,-11.764
0,783.082,1017.73,1645.89
1,1214.57,-797.88,-13.9142
0,807.315,1000.25,1653.66
1,1195.23,-826.441,-16.065
0,831.108,982.16,1661.51
1,1175.18,-854.517,-18.2166
0,854.446,963.475,1669.44
1,1154.42,-882.09,-20.369
0,877.314,944.206,1677.45
1,1132.97,-909.142,-22.5225
0,899.697,924.365,1685.54
1,1110.84,-935.657,-24.677
0,921.582,903.963,1693.72
1,1088.05,-961.617,-26.8327
0,942.954,883.013,1701.97
1,1064.6,-987.006,-28.9897
0,963.8,861.527,1710.31
1,1040.53,-1011.81,-31.1481
0,984.106,839.52,1718.72
1,1015.82,-1036.01,-33.308
0,1003.86,817.004,1727.23
1,990.518,-1059.58,-35.4695
0,1023.05,793.994,1735.81
1,964.621,-1082.53,-37.6327
0,1041.66,770.503,1744.48
1,938.148,-1104.83,-39.7977
0,1059.68,746.546,1753.23
1,911.117,-1126.46,-41.9646
0,1077.09,722.138,1762.06
1,883.544,-1147.42,-44.1336
0,1093.9,697.293,1770.99
1,855.445,-1167.68,-46.3046
0,1110.08,672.028,1779.99
1,826.839,-1187.24,-48.4779
0,1125.63,646.358,1789.08
1,797.742,-1206.09,-50.6536
0,1140.53,620.298,1798.26
1,768.173,-1224.2,-52.8316
0,1154.78,593.864,1807.52
1,738.15,-1241.58,-55.0122
0,1168.36,567.074,1816.88
1,707.691,-1258.2,-57.1955
0,1181.28,539.944,1826.31
1,676.816,-1274.07,-59.3815
0,1193.51,512.49,1835.84
1,645.543,-1289.15,-61.5703
0,1205.05,484.729,1845.45
1,613.891,-1303.46,-63.7622
0,1215.9,456.679,1855.16
1,581.881,-1316.97,-65.957
0,1226.04,428.358,1864.95
1,549.532,-1329.68,-68.1551
0,1235.47,399.782,1874.83
1,516.863,-1341.59,-70.3564
0,1244.19,370.97,1884.8
1,483.897,-1352.67,-72.5612
0,1252.18,341.939,1894.87
1,450.652,-1362.93,-74.7694
0,1259.44,312.708,1905.02
1,417.149,-1372.35,-76.9812
0,1265.98,283.295,1915.27
1,383.41,-1380.94,-79.1967
0,1271.77,253.718,1925.6
1,349.455,-1388.68,-81.416
0,1276.82,223.995,1936.03
1,315.305,-1395.58,-83.6392
0,1281.13,194.146,1946.56
1,280.983,-1401.62,-85.8665
0,1284.68,164.188,1957.18
1,246.508,-1406.8,-88.0978
0,1287.49,134.141,1967.89
1,211.902,-1411.11,-90.3335
0,1289.54,104.023,1978.69
1,177.188,-1414.56,-92.5734
0,1290.84,73.8532,1989.59
1,142.387,-1417.14,-94.8179
0,1291.38,43.6504,2000.59
1,107.52,-1418.85,-97.0668
0,1291.17,13.4337,2011.68
1,72.6092,-1419.69,-99.3205
0,1290.19,-16.7782,2022.87
1,37.6767,-1419.66,-101.579
